mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.4091486930847168,0.007076193706022449,1.0790560245513916,0.06339976928510192,euclidean,31,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 31, 'model__weights': 'uniform'}",0.8004443156572975,0.797353424128272,0.8058346213292118,0.794532457496136,0.7997488408037094,0.7995827318829254,0.0037504966302939467,3,0.8004410110824868,0.7973564077409323,0.8058346213292118,0.7945324574961361,0.7997488408037094,0.7995826676904952,0.0037499906014023276,3,0.8002094068421455,0.7971608487663682,0.8056149502815696,0.7942850537809479,0.7995585050076945,0.7993657529357452,0.003754370227875182,3,0.8002100685571177,0.7971602450818481,0.8056149502815696,0.7942850537809479,0.7995585050076945,0.7993657645418356,0.003754470894580991,3,0.8018566743563165,0.7984935194600509,0.8072233717507156,0.7959561879889784,0.8008917272388866,0.8008842961589897,0.00377177722822334,6,0.8004410110824868,0.7973564077409323,0.8058346213292118,0.7945324574961361,0.7997488408037094,0.7995826676904952,0.0037499906014023276,3
0.41620750427246095,0.00862020948537227,1.0571215629577637,0.06914699854866255,euclidean,31,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 31, 'model__weights': 'distance'}",0.7957113880034773,0.7899159663865546,0.7980100463678517,0.7891228748068007,0.7904752704791345,0.7926471092087637,0.00354251752873178,15,0.7957097720598092,0.7899167761102415,0.7980100463678517,0.7891228748068007,0.7904752704791345,0.7926469479647675,0.0035421131827734096,15,0.7956536671270213,0.7899014690744011,0.7979884641933777,0.7891027993684923,0.7904583587617798,0.7926209517050145,0.003534327178486057,15,0.7956539988561963,0.7899013005010039,0.7979884641933775,0.7891027993684923,0.7904583587617798,0.79262098433617,0.0035344100526476106,15,0.7960423372144938,0.7899977490483849,0.7981374540334487,0.7892330038992523,0.7905690756445471,0.7927959239680253,0.0035931651272886255,15,0.7957097720598092,0.7899167761102415,0.7980100463678517,0.7891228748068007,0.7904752704791345,0.7926469479647675,0.0035421131827734096,15
0.4118492126464844,0.010621524114400623,1.075573778152466,0.11184553324704141,euclidean,41,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 41, 'model__weights': 'uniform'}",0.8045011107891432,0.7978363759296823,0.8059312210200927,0.794146058732612,0.7977202472952086,0.8000270027533478,0.004462799687563391,2,0.8044973024485008,0.797839723405062,0.8059312210200927,0.7941460587326121,0.7977202472952086,0.8000269105802952,0.004461707900109314,2,0.8041955224297882,0.7975943531470712,0.8056896565142786,0.7938146946922854,0.797496632462168,0.7997581718491181,0.004472005880958893,2,0.804196269589591,0.797593677105779,0.8056896565142785,0.7938146946922855,0.797496632462168,0.7997581860728203,0.004472219594171834,2,0.8064054304134396,0.7992751324358407,0.8074601454563816,0.796049202308553,0.7990411147902869,0.8016462050809003,0.004476316552693653,2,0.8044973024485008,0.797839723405062,0.8059312210200927,0.7941460587326121,0.7977202472952086,0.8000269105802952,0.004461707900109314,2
0.4048959732055664,0.005312119750958479,1.0262517929077148,0.056109969167372015,euclidean,41,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 41, 'model__weights': 'distance'}",0.797353424128272,0.7905920989085289,0.7999420401854714,0.7881568778979907,0.7891228748068007,0.7930334631854128,0.004720689436479618,14,0.7973517802108303,0.7905926567366837,0.7999420401854714,0.7881568778979907,0.7891228748068007,0.7930332459675553,0.004720330910316088,14,0.7972941752226343,0.7905852978147421,0.7999214561467826,0.788135081279524,0.789101177580119,0.7930074376087604,0.004712648013728465,14,0.7972945099622142,0.7905851825419662,0.7999214561467827,0.788135081279524,0.789101177580119,0.7930074815021213,0.00471272076230391,14,0.797697870353073,0.7906310515749639,0.8000655228980815,0.7882755087938735,0.789241903392579,0.7931823714025142,0.004772448573704656,13,0.7973517802108303,0.7905926567366837,0.7999420401854714,0.7881568778979907,0.7891228748068007,0.7930332459675553,0.004720330910316088,14
0.40302267074584963,0.003361845488900143,1.0245882987976074,0.028135052280997896,euclidean,51,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 51, 'model__weights': 'uniform'}",0.8027624843040665,0.79725683376799,0.8074768160741885,0.7967542503863988,0.7986862442040186,0.8005873257473324,0.0040396818263860055,1,0.8027588438817633,0.7972599573252159,0.8074768160741885,0.7967542503863987,0.7986862442040186,0.800587222374317,0.004038775217612392,1,0.8024807559866735,0.7970456021273625,0.8071728652921979,0.7964594045783282,0.7984451922320526,0.8003207640433228,0.0040192389536594314,1,0.8024814765194546,0.7970449696973008,0.8071728652921979,0.7964594045783282,0.7984451922320526,0.8003207816638668,0.004019419486999571,1,0.8044916273145937,0.7985064005142806,0.80942780337581,0.7984837665482544,0.8001219826325896,0.8022063160771056,0.004225250816987117,1,0.8027588438817633,0.7972599573252159,0.8074768160741885,0.7967542503863987,0.7986862442040186,0.800587222374317,0.004038775217612392,1
0.4093898296356201,0.007471505660079525,1.0363425254821776,0.06814030795938235,euclidean,51,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 51, 'model__weights': 'distance'}",0.7965807012460157,0.7904955085482469,0.7994590417310664,0.7897024729520865,0.7889296754250387,0.7930334799804908,0.0042011603435376434,13,0.7965792439153204,0.7904960197270116,0.7994590417310664,0.7897024729520865,0.7889296754250386,0.7930332907501046,0.004200852525466096,13,0.7965339106136284,0.7904898087400056,0.799434718742654,0.7896791551942981,0.7889118982627007,0.7930098983106574,0.0041936925456983265,13,0.796534208643134,0.7904897031880012,0.799434718742654,0.7896791551942981,0.7889118982627007,0.7930099368061575,0.0041937553207616034,13,0.796850568847804,0.7905282209481501,0.79960437643168,0.7898310043711335,0.7890270391428914,0.7931682419483319,0.004248288706907122,14,0.7965792439153204,0.7904960197270116,0.7994590417310664,0.7897024729520865,0.7889296754250386,0.7930332907501046,0.004200852525466096,13
0.4132534503936768,0.007473788974693163,0.9957055568695068,0.0870977842249234,euclidean,61,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 61, 'model__weights': 'uniform'}",0.8004443156572975,0.7954216169226311,0.8059312210200927,0.7963678516228748,0.7980100463678517,0.7992350103181496,0.0037567209643653977,7,0.8004405819163887,0.7954248617488063,0.8059312210200927,0.7963678516228748,0.7980100463678517,0.7992349125352028,0.0037558223701175965,7,0.8001444874770294,0.7951915392820382,0.8056424865736976,0.7961240236205216,0.7977932027621412,0.7989791479430856,0.00373262047827855,7,0.8001452351782271,0.7951908762340827,0.8056424865736976,0.7961240236205215,0.7977932027621412,0.798979164873734,0.0037328017508425977,7,0.802249829477313,0.7967622111401833,0.807760034770495,0.7977924458980545,0.7992938798484259,0.8007716802268943,0.003953671658992617,9,0.8004405819163887,0.7954248617488063,0.8059312210200927,0.7963678516228748,0.7980100463678517,0.7992349125352028,0.0037558223701175965,7
0.4114415168762207,0.007879251887218795,1.0465893745422363,0.16264284417200753,euclidean,61,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 61, 'model__weights': 'distance'}",0.7946488940403748,0.7883705206220419,0.7977202472952086,0.7891228748068007,0.7890262751159196,0.7917777623760691,0.003735904992544282,17,0.7946474366916563,0.788370863846421,0.7977202472952086,0.7891228748068007,0.7890262751159196,0.7917775395512012,0.0037356184275974045,17,0.7946016590525043,0.7883679617180708,0.7976982282404922,0.789111805351036,0.789005790758118,0.7917570890240443,0.0037267161306141043,17,0.7946019599122998,0.788367890637405,0.7976982282404922,0.789111805351036,0.789005790758118,0.7917571349798702,0.0037267749895122603,17,0.7949169943141366,0.7883851990795236,0.7978499223579754,0.7891835914339894,0.789138559101725,0.7918948532574701,0.0037910936457813157,16,0.7946474366916563,0.788370863846421,0.7977202472952086,0.7891228748068007,0.7890262751159196,0.7917775395512012,0.0037356184275974045,17
0.41355342864990235,0.0077555843666062396,1.0488306522369384,0.056389964632593305,euclidean,81,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 81, 'model__weights': 'uniform'}",0.7991886409736308,0.795131845841785,0.8072836166924265,0.7956916537867079,0.7998454404945904,0.7994282395578282,0.0043441796974376945,5,0.7991850471664738,0.7951350066979765,0.8072836166924267,0.7956916537867078,0.7998454404945904,0.7994281529676351,0.004343594609628763,5,0.7989091070090849,0.7949132516733272,0.806991107927978,0.7954027518427436,0.7997323483361702,0.7991897133578607,0.004332762443005061,5,0.7989098311903401,0.7949126049450181,0.806991107927978,0.7954027518427436,0.7997323483361704,0.79918972884845,0.004332880747886425,5,0.8008535646552316,0.7964024418353193,0.8091577552783821,0.7973712685092956,0.8005242708131473,0.8008618602182752,0.00449458681224801,8,0.7991850471664738,0.7951350066979765,0.8072836166924267,0.7956916537867078,0.7998454404945904,0.7994281529676351,0.004343594609628763,5
0.41406917572021484,0.012212664360566769,1.0398780822753906,0.10250091276044153,euclidean,81,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 81, 'model__weights': 'distance'}",0.7933932193567081,0.7881773399014779,0.7988794435857806,0.7894126738794436,0.7891228748068007,0.7917971103060422,0.003966026201289172,16,0.7933918459635547,0.7881775898270766,0.7988794435857806,0.7894126738794436,0.7891228748068007,0.7917968856125313,0.003965870076685332,16,0.7933509890404502,0.7881760039538761,0.7988635574638114,0.7894024863305571,0.7891099632808178,0.7917806000139025,0.003960182974027729,16,0.793351274380425,0.788175952571276,0.7988635574638113,0.7894024863305571,0.7891099632808178,0.7917806468053774,0.003960214959533679,16,0.79363024659828,0.7881851396412451,0.7989738975940719,0.7894686854881872,0.7891936971556033,0.7918903332954775,0.004001721281208464,17,0.7933918459635547,0.7881775898270766,0.7988794435857806,0.7894126738794436,0.7891228748068007,0.7917968856125313,0.003965870076685332,16
0.4364462852478027,0.008774421927450834,0.9933843612670898,0.05002357132042091,euclidean,101,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 101, 'model__weights': 'uniform'}",0.7989954602530668,0.7948420747609388,0.8053516228748068,0.794532457496136,0.7970440494590417,0.7981531329687981,0.003945383016806226,10,0.7989922956102056,0.7948450023719824,0.8053516228748068,0.794532457496136,0.7970440494590417,0.7981530855624345,0.003944756925589827,10,0.7987784401740377,0.7946543845245309,0.8051351900729413,0.794319627522868,0.7969109642782932,0.7979597213145342,0.003935303746912674,10,0.7987790784683878,0.7946537848752132,0.8051351900729413,0.7943196275228681,0.7969109642782933,0.7979597290435407,0.003935431054463288,10,0.8002839260396541,0.7959304056840489,0.8067142707333259,0.795756606790675,0.7978247130853471,0.7993019844666102,0.004050327740777301,10,0.7989922956102056,0.7948450023719824,0.8053516228748068,0.794532457496136,0.7970440494590417,0.7981530855624345,0.003944756925589827,10
0.4198299884796143,0.012946765113531173,0.9886035919189453,0.060695533529138784,euclidean,101,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 101, 'model__weights': 'distance'}",0.7926204964744519,0.7880807495411958,0.7975270479134466,0.7879636785162287,0.7880602782071098,0.7908504501304865,0.003781528079610543,21,0.792619309668045,0.7880808968392179,0.7975270479134466,0.7879636785162287,0.7880602782071098,0.7908502422288095,0.0037813954289649524,21,0.7925887920603332,0.7880803046831897,0.7975155522947368,0.787957693030868,0.7880505869576765,0.7908385858053608,0.003776921999113398,21,0.7925890397510685,0.7880802750259892,0.7975155522947369,0.787957693030868,0.7880505869576765,0.7908386294120678,0.0037769492878565055,21,0.792796936179289,0.7880834770617249,0.7975946290916536,0.7879961964989408,0.7881129733224083,0.7909168424308033,0.0038091311645028648,21,0.792619309668045,0.7880808968392179,0.7975270479134466,0.7879636785162287,0.7880602782071098,0.7908502422288095,0.0037813954289649524,21
0.41141629219055176,0.0045229763188852825,16.236146926879883,0.18846938548313963,manhattan,31,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 31, 'model__weights': 'uniform'}",0.7984159180913745,0.7960011590843233,0.8045788253477589,0.7963678516228748,0.8013910355486863,0.7993509579390036,0.003239965724320358,6,0.7984121936612392,0.7960041800031588,0.8045788253477588,0.7963678516228748,0.8013910355486863,0.7993508172367436,0.003239556710800411,6,0.7981145532612972,0.7958024017120613,0.8043165339632925,0.7960724452714428,0.8011740270202959,0.799095992245678,0.0032411442960310626,6,0.7981153066733724,0.7958017863641595,0.8043165339632926,0.7960724452714428,0.8011740270202959,0.7990960198585126,0.0032412237575653257,6,0.8002002098469803,0.7971647528239327,0.8062206408258087,0.7980951158105614,0.8027126178094244,0.8008786674233415,0.0032833421925505986,7,0.7984121936612392,0.7960041800031588,0.8045788253477588,0.7963678516228748,0.8013910355486863,0.7993508172367436,0.003239556710800411,6
0.4088123321533203,0.005857530478324068,16.22212772369385,0.23756799727186823,manhattan,31,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 31, 'model__weights': 'distance'}",0.7911716410702212,0.7893364242248624,0.7954984544049459,0.7900888717156105,0.7907650695517774,0.7913720921934834,0.00215527822398171,19,0.7911699411169186,0.7893370846679777,0.7954984544049459,0.7900888717156105,0.7907650695517774,0.7913718842914459,0.002155185228840758,19,0.7911063738764467,0.7893267931899312,0.7954626311311288,0.790055251609468,0.7907422933948931,0.7913386686403736,0.002149953163175293,19,0.7911067305277787,0.7893266556037178,0.7954626311311287,0.7900552516094681,0.7907422933948931,0.7913387124533973,0.002149971212455836,19,0.791532298171876,0.7893907592430973,0.795705617396429,0.7902748076805639,0.7908917152165822,0.7915590395417097,0.002190471898361099,19,0.7911699411169186,0.7893370846679777,0.7954984544049459,0.7900888717156105,0.7907650695517774,0.7913718842914459,0.002155185228840758,19
0.4087019920349121,0.0022698227414229594,16.30792679786682,0.2820838904349959,manhattan,41,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 41, 'model__weights': 'uniform'}",0.8020863517820922,0.797353424128272,0.8049652241112828,0.794725656877898,0.7984930448222566,0.7995247403443604,0.003604744891243063,4,0.8020821235825204,0.7973569115446129,0.8049652241112828,0.794725656877898,0.7984930448222566,0.7995245921877141,0.0036037245180127954,4,0.8017050305616101,0.7970900406070391,0.8046750524600774,0.7943387587681241,0.7982095693472291,0.799203690348816,0.0036143009640651398,4,0.8017058704761927,0.7970893344849982,0.8046750524600773,0.7943387587681242,0.7982095693472291,0.7992037171073243,0.003614499835614156,4,0.8044185534001066,0.798913066720687,0.80678826326822,0.796960270784853,0.8001798169038701,0.8014519942155474,0.00361984552466973,3,0.8020821235825204,0.7973569115446129,0.8049652241112828,0.794725656877898,0.7984930448222566,0.7995245921877141,0.0036037245180127954,4
0.4085834503173828,0.0039617932671307384,16.101766347885132,0.3368242867912739,manhattan,41,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 41, 'model__weights': 'distance'}",0.7926204964744519,0.7911716410702212,0.7962712519319938,0.7891228748068007,0.7891228748068007,0.7916618278180536,0.0026570165257064136,18,0.7926189737989247,0.7911723295195519,0.7962712519319939,0.7891228748068007,0.7891228748068007,0.7916616609728143,0.002656881341822476,18,0.7925684453530657,0.7911612580342021,0.7962345142544445,0.7890901235619989,0.789101177580119,0.7916311037567662,0.002651333977106009,18,0.7925687627379523,0.7911611158008319,0.7962345142544445,0.7890901235619989,0.789101177580119,0.7916311387870694,0.0026513614637467065,18,0.7929111837312874,0.7912310405643739,0.796485069750077,0.7893025727809859,0.789241903392579,0.7918343540438607,0.002693823403739597,18,0.7926189737989247,0.7911723295195519,0.7962712519319939,0.7891228748068007,0.7891228748068007,0.7916616609728143,0.002656881341822476,18
0.4185811996459961,0.009847909230855618,16.1162739276886,0.07140801194546419,manhattan,51,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 51, 'model__weights': 'uniform'}",0.7996715927750411,0.7968704723268618,0.8056414219474498,0.794532457496136,0.7988794435857806,0.7991190776262538,0.003714753906187769,9,0.799667635114176,0.7968737824744389,0.8056414219474498,0.794532457496136,0.7988794435857804,0.7991189481235963,0.003714236117644055,9,0.79933343416447,0.7966327033375795,0.8053390436257166,0.7941622838741533,0.7986221869762887,0.7988179303956416,0.003722344401306473,9,0.799334229831789,0.7966320316737681,0.8053390436257166,0.7941622838741533,0.7986221869762887,0.7988179551963432,0.003722445328160091,9,0.8016964976492293,0.7982726371424409,0.8075523788004076,0.7966665294396192,0.8004145407254035,0.8009205167514202,0.003740252045038681,5,0.799667635114176,0.7968737824744389,0.8056414219474498,0.794532457496136,0.7988794435857804,0.7991189481235963,0.003714236117644055,9
0.4128762722015381,0.007357192339847254,16.42246651649475,0.5057104776074268,manhattan,51,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 51, 'model__weights': 'distance'}",0.7914614121510674,0.7902057374674007,0.7962712519319938,0.7877704791344667,0.7889296754250387,0.7909277112219935,0.00294345958368267,20,0.7914598708053305,0.7902063885889288,0.7962712519319939,0.7877704791344667,0.7889296754250386,0.7909275331771517,0.0029433718359888686,20,0.7914077853559485,0.7901964182669862,0.7962386220176567,0.7877405131323246,0.7889062719795781,0.7908979221504987,0.0029397634384178413,20,0.7914081084089312,0.7901962832061107,0.7962386220176565,0.7877405131323246,0.7889062719795781,0.7908979597489202,0.0029397810939572164,20,0.7917580947523835,0.7902587076516792,0.7964611505681951,0.7879330764027745,0.7890578639793466,0.7910937786708757,0.002969253374373753,20,0.7914598708053305,0.7902063885889288,0.7962712519319939,0.7877704791344667,0.7889296754250386,0.7909275331771517,0.0029433718359888686,20
0.41620240211486814,0.0037732872798249663,15.75929765701294,0.22829933046277356,manhattan,61,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 61, 'model__weights': 'uniform'}",0.7981261470105283,0.7965807012460157,0.8055448222565688,0.7959814528593508,0.7994590417310664,0.799138433020706,0.003425721866217084,8,0.7981220214006848,0.7965840580393782,0.8055448222565689,0.7959814528593508,0.7994590417310665,0.7991382792574099,0.003425465245307877,8,0.7977558493279082,0.796335811195455,0.8052008550546808,0.7956418523501525,0.7992215937551711,0.7988311923366735,0.0034140941868907875,8,0.797756685214325,0.7963351290504675,0.8052008550546808,0.7956418523501526,0.7992215937551711,0.7988312230849595,0.003414141281152648,8,0.8003165071612226,0.7980214394527569,0.8077182400511906,0.7979620553827822,0.800882380296607,0.8009801244689119,0.003569725521322432,4,0.7981220214006848,0.7965840580393782,0.8055448222565689,0.7959814528593508,0.7994590417310665,0.7991382792574099,0.003425465245307877,8
0.41250295639038087,0.003596163423545918,16.41254653930664,0.4893615888312185,manhattan,61,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 61, 'model__weights': 'distance'}",0.7903023278276828,0.7889500627837341,0.7962712519319938,0.7879636785162287,0.7892194744976816,0.7905413591114642,0.0029601637750380767,22,0.7903008611087144,0.7889506485856626,0.7962712519319939,0.7879636785162287,0.7892194744976816,0.7905411829280562,0.002960124559169297,22,0.7902534764836147,0.7889424935528311,0.7962345142544445,0.7879307472370993,0.7891911473523947,0.7905104757760769,0.0029558369445869177,22,0.7902537856693367,0.7889423714684616,0.7962345142544445,0.7879307472370993,0.7891911473523946,0.7905105131963472,0.002955844523977625,22,0.7905698503168275,0.7889927742526699,0.796485069750077,0.7881426560174137,0.7893750119507439,0.7907130724575465,0.00298976045314147,22,0.7903008611087144,0.7889506485856626,0.7962712519319939,0.7879636785162287,0.7892194744976816,0.7905411829280562,0.002960124559169297,22
0.4084293842315674,0.0036168025305264766,16.080789184570314,0.21438459493657105,manhattan,81,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 81, 'model__weights': 'uniform'}",0.79725683376799,0.7926204964744519,0.802840030911901,0.794339258114374,0.7961746522411128,0.796646254301966,0.0034781328892744927,11,0.7972528294361071,0.7926239558575425,0.802840030911901,0.794339258114374,0.7961746522411128,0.7966461453122075,0.003477192163718285,11,0.7969064850447397,0.7923552852494956,0.8024944844150927,0.7939887499319392,0.7959139358885539,0.7963317881059643,0.003457921505703111,11,0.7969072998092124,0.7923545684624012,0.8024944844150926,0.7939887499319392,0.7959139358885539,0.7963318077014399,0.003458113473293716,11,0.7993133617033301,0.7941307141087162,0.804974306563647,0.7963561431740591,0.7976958570989292,0.7984940765297364,0.0036581813623240336,11,0.7972528294361071,0.7926239558575425,0.802840030911901,0.794339258114374,0.7961746522411128,0.7966461453122075,0.003477192163718285,11
0.40860590934753416,0.003113186953893053,16.045617818832397,0.4455507695628718,manhattan,81,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 81, 'model__weights': 'distance'}",0.7890466531440162,0.7879841591809137,0.79491885625966,0.7872874806800618,0.7872874806800618,0.7893049259889426,0.002879844233869051,23,0.7890452144024261,0.7879846516768527,0.79491885625966,0.7872874806800618,0.7872874806800618,0.7893047367398125,0.0028798249398665193,23,0.7889993581968534,0.7879788104158066,0.7948786125114298,0.7872634603520068,0.7872598389659056,0.7892760160884004,0.0028727589389528864,23,0.7889996633255447,0.7879787075549392,0.7948786125114298,0.7872634603520068,0.7872598389659056,0.7892760565419652,0.0028727623547049903,23,0.7893029253165644,0.7880142741144124,0.7951504842126906,0.7874172911514284,0.7874368694507521,0.7894643688491696,0.0029244496094969112,23,0.7890452144024261,0.7879846516768527,0.79491885625966,0.7872874806800618,0.7872874806800618,0.7893047367398125,0.0028798249398665193,23
0.41043977737426757,0.005084418291250744,16.029871940612793,0.18536051125399589,manhattan,101,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 101, 'model__weights': 'uniform'}",0.7961943398048875,0.7938761711581184,0.8019706336939721,0.7920208655332303,0.7973338485316847,0.7962791717443787,0.0033888010361419205,12,0.7961907179807011,0.7938794346292707,0.8019706336939723,0.7920208655332304,0.7973338485316848,0.7962791000737719,0.0033883570148822953,12,0.7959062044324006,0.7936416724657549,0.801637865385041,0.7916925132835434,0.7971019139472423,0.7959960339027965,0.0033800772173743438,12,0.7959069451402989,0.7936410005497309,0.8016378653850411,0.7916925132835434,0.7971019139472423,0.7959960476611714,0.0033801669120857025,12,0.7978684919846787,0.7952252159237299,0.8040106421356421,0.7938737824709625,0.7986996332298854,0.7979355531489796,0.003502539954976566,12,0.7961907179807011,0.7938794346292707,0.8019706336939723,0.7920208655332304,0.7973338485316848,0.7962791000737719,0.0033883570148822953,12
0.40815396308898927,0.0032698463766665945,16.162820768356323,0.5146764291245901,manhattan,101,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 101, 'model__weights': 'distance'}",0.7895296049454265,0.7867284844972472,0.7936630602782071,0.7864180834621329,0.7866112828438949,0.7885901032053818,0.002782681476017328,24,0.7895282315162266,0.7867289863111688,0.7936630602782071,0.7864180834621329,0.7866112828438949,0.788589928882326,0.0027825216592298812,24,0.7894865849084343,0.7867228951183876,0.7936253148837478,0.7863898562967155,0.7865876223354178,0.7885624547085406,0.0027745520729219315,24,0.7894868755843599,0.7867227896584091,0.7936253148837479,0.7863898562967154,0.7865876223354178,0.78856249175173,0.0027745854234520794,24,0.7897634927039998,0.7867596140675519,0.7938780584158245,0.7865695565361301,0.7867384428039856,0.7887418329054984,0.0028314713236076887,24,0.7895282315162266,0.7867289863111688,0.7936630602782071,0.7864180834621329,0.7866112828438949,0.788589928882326,0.0027825216592298812,24
